SMILES,Kinetic solubility in PBS (uM),logS
COC(=O)c1c(NC(C)=O)c(C#N)nn1-c1cccc(OC)c1,159.246497530208,-3.797930110766748
COc1cc2ccccc2cc1O,159.0743896190555,-3.7983997345106264
CC(=O)OCC1CC(OC(C)=O)C(n2nnc(C(N)=O)c2I)C1,158.8770291856015,-3.798938889571017
COC(=O)C1(C)CCCC(C)(C(=O)OC)N1,158.67114953570302,-3.799502031887091
Cc1n(C)c(-c2cccc(Cl)c2)c[n+]1CC(=O)c1ccc(N2CCCC2)cc1,158.405294029728,-3.800230308040228
COc1cc2c(cc1O)CCC(c1ccc(OC)c(OC)c1)C2=NO,158.3923692545755,-3.8002657449085024
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cc2c(cc1NC(C)=O)OCO2,157.41913203637648,-3.8029424865075176
OCCCOc1ccccc1CN1CCc2sccc2C1,157.0804741110415,-3.803877796582302
CNC(=O)CCCCCNc1c2ccc(Cl)cc2nc2ccc(OC)cc12,156.9064302753115,-3.804359257969081
CC(CO)C(=O)c1ccc2ccccc2c1O,155.820476858345,-3.807375470910998
CCOC(=O)Cc1cc(O)nc(SC)n1,155.236398723373,-3.809006440865727
CN(C)CCCNC(=O)c1ccoc1COc1ccc(Cl)cc1,155.219859072057,-3.8090527152063185
CC1(c2ccco2)OC(=O)c2cnccc21,154.29595091649998,-3.811645470681467
CCN(CC)CCCNc1ncc(C)c2c1c1ccc3c(O)cccc3c1n2C,154.22189343285652,-3.8118539692023585
CS(=O)(=O)c1ccc(N2C(=O)NCC2c2ccccc2)cc1,154.1573413119105,-3.812035788385837
CC1(C)OC2C(CN)OC(n3ccc(=O)[nH]c3=O)C2O1,153.608277708527,-3.8135853802272224
CCCCCCCCCCCCCCCC(=O)NC(CCCCN)C(=O)N1CCCC1C(=O)NC(C(=O)O)C(C)C,152.7940444028555,-3.8158935733348285
Cc1nccc2cc3c(cc12)OCO3,152.5237271723,-3.81666259055687
COc1ccccc1N1CCN(CCC(O)c2ccccc2)CC1,151.017008303318,-3.820974137499526
CNCCSc1nc2ccsc2n2cccc12,151.0001986964395,-3.821022481231927
COc1ccc(C(=O)COc2ccccc2OC)cc1OC,150.358988588672,-3.8228706042925964
CC(C)(C)Nc1nc(-c2ccccc2)nc2ncccc12,149.63537419686952,-3.8249657259738723
COc1cc(C2c3cc4c(cc3C(NS(=O)(=O)CCCl)C3COC(=O)C23)OCO4)cc(OC)c1O,149.3310936853025,-3.8258497541639858
COc1ccc2c(ccc3[nH]c4c(C)cnc(NCC(C)CN(C)C)c4c32)c1,149.0524459747685,-3.826660892730118
C=CCc1c(O)ccc2c1c1cc3c(C(=O)NCCN(C)C)nccc3c(C)c1n2C,148.74254849409448,-3.8275647817604574
COCCNc1nc(-c2ccc(OC)cc2)nc2c1ncn2C(C)C,148.63447336502,-3.8278804513031885
CC(COc1ccccc1)NC(C)C(O)c1ccc(O)cc1,148.39293441913549,-3.828586777061254
